Compound ID, Name, Frequency, Title, Abstract
D008550, Melatonin, 1, Melatonin: an endogenous miraculous indolamine, fights against cancer progression., PURPOSE: Melatonin is an amphipathic indolamine molecule ubiquitously present in all organisms ranging from cyanobacteria to humans. The pineal gland is the site of melatonin synthesis and secretion under the influence of the retinohypothalamic tract. Some extrapineal tissues (skin* lens* gastrointestinal tract* testis* ovary* lymphocytes* and astrocytes) also enable to produce melatonin. Physiologically* melatonin regulates various functions like circadian rhythm* sleep-wake cycle* gonadal activity* redox homeostasis* neuroprotection* immune-modulation* and anticancer effects in the body. Inappropriate melatonin secretion advances the aging process* tumorigenesis* visceral adiposity* etc. METHODS: For the preparation of this review* I had reviewed the literature on the multidimensional activities of melatonin from the NCBI website database PubMed* Springer Nature* Science Direct (Elsevier)* Wiley Online ResearchGate* and Google Scholar databases to search relevant articles. Specifically* I focused on the roles and mechanisms of action of melatonin in cancer prevention. RESULTS: The actions of melatonin are primarily mediated by G-protein coupled MT1 and MT2 receptors; however* several intracellular protein and nuclear receptors can modulate the activity. Normal levels of the melatonin protect the cells from adverse effects including carcinogenesis. Therapeutically* melatonin has chronomedicinal value; it also shows a remarkable anticancer property. The oncostatic action of melatonin is multidimensional* associated with the advancement of apoptosis* the arrest of the cell cycle* inhibition of metastasis* and antioxidant activity. CONCLUSION: The present review has emphasized the mechanism of the anti-neoplastic activity of melatonin that increases the possibilities of the new approaches in cancer therapy.
D056804, Biofuels, 2, Anaerobic digestion of aqueous phase from hydrothermal liquefaction of Spirulina using biostimulated sludge., Hydrothermal liquefaction is a process that converts wet biomass into biofuels* more specifically bio-crude oil. During the process* post hydrothermal liquefaction waste water (PHWW) is generated* rich in nutrient and organic matter* however potentially toxic. Anaerobic digestion of PHWW from Spirulina* was evaluated using biostimulated sludge as a strategy to optimize the process. The biostimulation was conducted in a sequential batch reactor fed with organic acids and methanol aiming at development of acetogenic and methanogenic microorganism. Anaerobic biodegradability batch assays were performed* with biostimulated sludge and with non-biostimulated sludge* using increasing PHWW concentrations. Biostimulated sludge were more favourable for reaching higher methane yields at higher organic matter concentrations in comparison to non-biostimulated sludge* presenting less inhibition at conditions tested. Biostimulation was a key process to select and favour potential microorganisms involved in specialized uptake of recalcitrant compounds* such as Mesotoga and Methanomethylovorans.
D012722, Sewage, 1, Anaerobic digestion of aqueous phase from hydrothermal liquefaction of Spirulina using biostimulated sludge., Hydrothermal liquefaction is a process that converts wet biomass into biofuels* more specifically bio-crude oil. During the process* post hydrothermal liquefaction waste water (PHWW) is generated* rich in nutrient and organic matter* however potentially toxic. Anaerobic digestion of PHWW from Spirulina* was evaluated using biostimulated sludge as a strategy to optimize the process. The biostimulation was conducted in a sequential batch reactor fed with organic acids and methanol aiming at development of acetogenic and methanogenic microorganism. Anaerobic biodegradability batch assays were performed* with biostimulated sludge and with non-biostimulated sludge* using increasing PHWW concentrations. Biostimulated sludge were more favourable for reaching higher methane yields at higher organic matter concentrations in comparison to non-biostimulated sludge* presenting less inhibition at conditions tested. Biostimulation was a key process to select and favour potential microorganisms involved in specialized uptake of recalcitrant compounds* such as Mesotoga and Methanomethylovorans.
D062065, Waste Water, 3, Anaerobic digestion of aqueous phase from hydrothermal liquefaction of Spirulina using biostimulated sludge., Hydrothermal liquefaction is a process that converts wet biomass into biofuels* more specifically bio-crude oil. During the process* post hydrothermal liquefaction waste water (PHWW) is generated* rich in nutrient and organic matter* however potentially toxic. Anaerobic digestion of PHWW from Spirulina* was evaluated using biostimulated sludge as a strategy to optimize the process. The biostimulation was conducted in a sequential batch reactor fed with organic acids and methanol aiming at development of acetogenic and methanogenic microorganism. Anaerobic biodegradability batch assays were performed* with biostimulated sludge and with non-biostimulated sludge* using increasing PHWW concentrations. Biostimulated sludge were more favourable for reaching higher methane yields at higher organic matter concentrations in comparison to non-biostimulated sludge* presenting less inhibition at conditions tested. Biostimulation was a key process to select and favour potential microorganisms involved in specialized uptake of recalcitrant compounds* such as Mesotoga and Methanomethylovorans.
D008697, Methane, 1, Anaerobic digestion of aqueous phase from hydrothermal liquefaction of Spirulina using biostimulated sludge., Hydrothermal liquefaction is a process that converts wet biomass into biofuels* more specifically bio-crude oil. During the process* post hydrothermal liquefaction waste water (PHWW) is generated* rich in nutrient and organic matter* however potentially toxic. Anaerobic digestion of PHWW from Spirulina* was evaluated using biostimulated sludge as a strategy to optimize the process. The biostimulation was conducted in a sequential batch reactor fed with organic acids and methanol aiming at development of acetogenic and methanogenic microorganism. Anaerobic biodegradability batch assays were performed* with biostimulated sludge and with non-biostimulated sludge* using increasing PHWW concentrations. Biostimulated sludge were more favourable for reaching higher methane yields at higher organic matter concentrations in comparison to non-biostimulated sludge* presenting less inhibition at conditions tested. Biostimulation was a key process to select and favour potential microorganisms involved in specialized uptake of recalcitrant compounds* such as Mesotoga and Methanomethylovorans.
D005875, Gibberellins, 1, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
D007210, Indoleacetic Acids, 1, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
D052998, Microcystins, 7, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
D010937, Plant Growth Regulators, 1, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
C030737, indoleacetic acid, 1, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
D000040, Abscisic Acid, 1, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
C078588, microcystin, 4, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
D015026, Zeatin, 1, Response of hormone in rice seedlings to irrigation contaminated with cyanobacterial extract containing microcystins., Microcystins released by cyanobacteria affect crop growth and productivity* and even food safety. Plant hormones play a vital role in regulating growth* development and stress response in plants. Therefore* we studied the response of hormones including abscisic acid (ABA)* indole-3-acetic acid (IAA)* Zeatin (ZT) and gibberellin (GA
D011084, Polycyclic Aromatic Hydrocarbons, 1, Formation and inhibition of polycyclic aromatic hydrocarbons from the gasification of cyanobacterial biomass in supercritical water., Polycyclic aromatic hydrocarbons (PAHs) formation and inhibition from supercritical water gasification (SCWG) of cyanobacterial biomass were investigated. High reaction temperature* long residence time* and low feedstock concentration favoured higher molecular weight (HMW) PAH formation. The total PAH yield reached 34.80 μg g
D014867, Water, 1, Formation and inhibition of polycyclic aromatic hydrocarbons from the gasification of cyanobacterial biomass in supercritical water., Polycyclic aromatic hydrocarbons (PAHs) formation and inhibition from supercritical water gasification (SCWG) of cyanobacterial biomass were investigated. High reaction temperature* long residence time* and low feedstock concentration favoured higher molecular weight (HMW) PAH formation. The total PAH yield reached 34.80 μg g
D006861, Hydrogen Peroxide, 2, Formation and inhibition of polycyclic aromatic hydrocarbons from the gasification of cyanobacterial biomass in supercritical water., Polycyclic aromatic hydrocarbons (PAHs) formation and inhibition from supercritical water gasification (SCWG) of cyanobacterial biomass were investigated. High reaction temperature* long residence time* and low feedstock concentration favoured higher molecular weight (HMW) PAH formation. The total PAH yield reached 34.80 μg g
D000890, Anti-Infective Agents, 1, Influence of eugenol on algal growth, cell physiology of cyanobacteria Microcystis aeruginosa and its interaction with signaling molecules., Essential oils (EOs) are naturally occurring substances that have shown great prospect in the field of antimicrobial* antioxidant and pest control by nontoxic mechanisms. In this regard* EOs are considered the promising and eco-friendly approach for controlling harmful algae. In this study* the anti-cyanobacterial activity of EOs eugenol against Microcystis aeruginosa are evaluated from the perspective of photosynthetic efficiency* the behavior of extracellular organic matter (EOM)* endogenous plant hormone synthesis* and nitric oxide signaling pathway. Results showed that the photosynthetic activity of M. aeruginosa decreased significantly after eugenol treatments. Eugenol treatment resulted in cells rupture and the release of EOM. Levels of endogenous plant hormones salicylic acid (SA) and jasmonic acid (JA) were enhanced separately by 2.32 and 2.01 times after 4 d of exposure to eugenol. And the inhibition of SA and JA biosynthesis further promotes the inhibitory effects of eugenol on algae. Additionally* the signaling molecule nitric oxide (NO) increased significantly by 3.78-fold. Furthermore* the influence of NO on microalgae exposed to eugenol was also determined* suggesting that the inhibitory effect of eugenol stress might be associated with NO generation in M. aeruginosa. These findings will be helpful for the understanding of the fate and potential of eugenol in harmful algae control.
D005054, Eugenol, 1, Influence of eugenol on algal growth, cell physiology of cyanobacteria Microcystis aeruginosa and its interaction with signaling molecules., Essential oils (EOs) are naturally occurring substances that have shown great prospect in the field of antimicrobial* antioxidant and pest control by nontoxic mechanisms. In this regard* EOs are considered the promising and eco-friendly approach for controlling harmful algae. In this study* the anti-cyanobacterial activity of EOs eugenol against Microcystis aeruginosa are evaluated from the perspective of photosynthetic efficiency* the behavior of extracellular organic matter (EOM)* endogenous plant hormone synthesis* and nitric oxide signaling pathway. Results showed that the photosynthetic activity of M. aeruginosa decreased significantly after eugenol treatments. Eugenol treatment resulted in cells rupture and the release of EOM. Levels of endogenous plant hormones salicylic acid (SA) and jasmonic acid (JA) were enhanced separately by 2.32 and 2.01 times after 4 d of exposure to eugenol. And the inhibition of SA and JA biosynthesis further promotes the inhibitory effects of eugenol on algae. Additionally* the signaling molecule nitric oxide (NO) increased significantly by 3.78-fold. Furthermore* the influence of NO on microalgae exposed to eugenol was also determined* suggesting that the inhibitory effect of eugenol stress might be associated with NO generation in M. aeruginosa. These findings will be helpful for the understanding of the fate and potential of eugenol in harmful algae control.
D052979, Phycobiliproteins, 1, Growth, physiological responses and microcystin-production/-release dynamics of Microcystis aeruginosa exposed to various luteolin doses., By testing time-dependent IC
C002497, allophycocyanin, 1, Growth, physiological responses and microcystin-production/-release dynamics of Microcystis aeruginosa exposed to various luteolin doses., By testing time-dependent IC
D010798, Phycocyanin, 1, Growth, physiological responses and microcystin-production/-release dynamics of Microcystis aeruginosa exposed to various luteolin doses., By testing time-dependent IC
D005978, Glutathione, 1, Growth, physiological responses and microcystin-production/-release dynamics of Microcystis aeruginosa exposed to various luteolin doses., By testing time-dependent IC
D047311, Luteolin, 1, Growth, physiological responses and microcystin-production/-release dynamics of Microcystis aeruginosa exposed to various luteolin doses., By testing time-dependent IC
D000900, Anti-Bacterial Agents, 2, Evaluation of phytotherapeutic activities and phytochemical content of Phormidium autumnale Gomont from natural freshwater sources., The information available on microalgae-sourced compounds* especially antibiotics and other bioactive compounds* and their potential commercial applications is still insufficient. In this study* antibacterial activity* metabolites* and molecular characterization of Phormidium autumnale* which was isolated from samples collected from different natural freshwater sources in Ankara* Turkey* were investigated. Sequencing results of 16s rDNA confirmed the molecular identification of P. autumnale by 99%. It was determined that the peak values of some phenolic compounds and cyclic peptides were consistent with the 1653-1389 cm
D064209, Phytochemicals, 1, Evaluation of phytotherapeutic activities and phytochemical content of Phormidium autumnale Gomont from natural freshwater sources., The information available on microalgae-sourced compounds* especially antibiotics and other bioactive compounds* and their potential commercial applications is still insufficient. In this study* antibacterial activity* metabolites* and molecular characterization of Phormidium autumnale* which was isolated from samples collected from different natural freshwater sources in Ankara* Turkey* were investigated. Sequencing results of 16s rDNA confirmed the molecular identification of P. autumnale by 99%. It was determined that the peak values of some phenolic compounds and cyclic peptides were consistent with the 1653-1389 cm
D010455, Peptides, 1, Inhibition of Extracellular Enzymes Exposed to Cyanopeptides., Harmful cyanobacterial blooms in freshwater ecosystems produce bioactive secondary metabolites including cyanopeptides that pose ecological and human health risks. Only adverse effects of one class of cyanopeptides* microcystins* have been studied extensively and have consequently been included in water quality assessments. Inhibition is a commonly observed effect for enzymes exposed to cyanopeptides and has mostly been investigated for human biologically relevant model enzymes. Here* we investigated the inhibition of ubiquitous aquatic enzymes by cyanobacterial metabolites. Hydrolytic enzymes are utilized in the metabolism of aquatic organisms and extracellularly by heterotrophic bacteria to obtain assimilable substrates. The ubiquitous occurrence of hydrolytic enzymes leads to the co-occurrence with cyanopeptides especially during cyanobacterial blooms. Bacterial leucine aminopeptidase and alkaline phosphatase were exposed to cyanopeptide extracts of different cyanobacterial strains ( 
D000447, Aldehydes, 1, Effects of high light and temperature on Microcystis aeruginosa cell growth and β-cyclocitral emission., Cyanobacteria always massively grow and even occur blooms in summer* with releasing amount of β-cyclocitral. To uncover the effects of summer high irradiance and temperature on cyanobacterial growth and β-cyclocitral emission* the cell growth* reactive oxygen species (ROS) levels* photosynthetic pigment content* chlorophyll fluorescence and β-cyclocitral emission were investigated in Microcystis aeruginosa under high light and temperature. Compared to the control under 50 μmol m
D004224, Diterpenes, 1, Effects of high light and temperature on Microcystis aeruginosa cell growth and β-cyclocitral emission., Cyanobacteria always massively grow and even occur blooms in summer* with releasing amount of β-cyclocitral. To uncover the effects of summer high irradiance and temperature on cyanobacterial growth and β-cyclocitral emission* the cell growth* reactive oxygen species (ROS) levels* photosynthetic pigment content* chlorophyll fluorescence and β-cyclocitral emission were investigated in Microcystis aeruginosa under high light and temperature. Compared to the control under 50 μmol m
D045332, Photosystem II Protein Complex, 5, Effects of high light and temperature on Microcystis aeruginosa cell growth and β-cyclocitral emission., Cyanobacteria always massively grow and even occur blooms in summer* with releasing amount of β-cyclocitral. To uncover the effects of summer high irradiance and temperature on cyanobacterial growth and β-cyclocitral emission* the cell growth* reactive oxygen species (ROS) levels* photosynthetic pigment content* chlorophyll fluorescence and β-cyclocitral emission were investigated in Microcystis aeruginosa under high light and temperature. Compared to the control under 50 μmol m
D017382, Reactive Oxygen Species, 4, Effects of high light and temperature on Microcystis aeruginosa cell growth and β-cyclocitral emission., Cyanobacteria always massively grow and even occur blooms in summer* with releasing amount of β-cyclocitral. To uncover the effects of summer high irradiance and temperature on cyanobacterial growth and β-cyclocitral emission* the cell growth* reactive oxygen species (ROS) levels* photosynthetic pigment content* chlorophyll fluorescence and β-cyclocitral emission were investigated in Microcystis aeruginosa under high light and temperature. Compared to the control under 50 μmol m
D019207, beta Carotene, 1, Effects of high light and temperature on Microcystis aeruginosa cell growth and β-cyclocitral emission., Cyanobacteria always massively grow and even occur blooms in summer* with releasing amount of β-cyclocitral. To uncover the effects of summer high irradiance and temperature on cyanobacterial growth and β-cyclocitral emission* the cell growth* reactive oxygen species (ROS) levels* photosynthetic pigment content* chlorophyll fluorescence and β-cyclocitral emission were investigated in Microcystis aeruginosa under high light and temperature. Compared to the control under 50 μmol m
C516118, beta-cyclocitral, 1, Effects of high light and temperature on Microcystis aeruginosa cell growth and β-cyclocitral emission., Cyanobacteria always massively grow and even occur blooms in summer* with releasing amount of β-cyclocitral. To uncover the effects of summer high irradiance and temperature on cyanobacterial growth and β-cyclocitral emission* the cell growth* reactive oxygen species (ROS) levels* photosynthetic pigment content* chlorophyll fluorescence and β-cyclocitral emission were investigated in Microcystis aeruginosa under high light and temperature. Compared to the control under 50 μmol m
D002734, Chlorophyll, 4, Resistance of cyanobacteria Microcystis aeruginosa to erythromycin with multiple exposure., Here we report a set of experiments in which water blooming cyanobacteria Microcystis aeruginosa was repeatedly exposed to erythromycin. Growth inhibition increased with increasing erythromycin concentration (1-150 μg/L) upon first exposure. Maximum inhibition rate (76.06%)* occurred under 150 μg/L erythromycin. Moreover* 96-h 50% effective concentration (EC
D004917, Erythromycin, 1, Resistance of cyanobacteria Microcystis aeruginosa to erythromycin with multiple exposure., Here we report a set of experiments in which water blooming cyanobacteria Microcystis aeruginosa was repeatedly exposed to erythromycin. Growth inhibition increased with increasing erythromycin concentration (1-150 μg/L) upon first exposure. Maximum inhibition rate (76.06%)* occurred under 150 μg/L erythromycin. Moreover* 96-h 50% effective concentration (EC
D037621, Artemisinins, 1, Cell membrane damage induced by continuous stress of artemisinin sustained-release microspheres (ASMs) on Microcystis aeruginosa at different physiological stages., Artemisinin sustained-release microspheres (ASMs) with long-term inhibition effects (> 40 days) on harmful freshwater bloom-forming cyanobacteria have been found in previous studies* but the inhibition mechanism is not completely clear. In the present study* we examined the growth effect of ASMs on Microcystis aeruginosa (M. aeruginosa) cells at different physiological stages. Growth experiments indicated that M. aeruginosa of different initial densities could be inhibited immediately and chlorophyll-a content both showed significant decreases following exposure of cyanobacteria to optimal dosage of ASMs for 20 days. The algicidal mechanism of ASMs was tested through a suite of physiological parameters (membrane permeability* antioxidant enzymes activity* and lipid peroxidation). The rise of cell membrane permeability indices (intracellular protein* nucleic acid contents* and conductivity) showed that the cellular membrane structure of M. aeruginosa was attacked by ASMs directly causing the leakage of cytoplasm. Antioxidant enzyme activity was a sensitive indicator of the impacts of ASMs which showed a significant downtrend after a few days. ASMs caused a great increase in •O
D003692, Delayed-Action Preparations, 1, Cell membrane damage induced by continuous stress of artemisinin sustained-release microspheres (ASMs) on Microcystis aeruginosa at different physiological stages., Artemisinin sustained-release microspheres (ASMs) with long-term inhibition effects (> 40 days) on harmful freshwater bloom-forming cyanobacteria have been found in previous studies* but the inhibition mechanism is not completely clear. In the present study* we examined the growth effect of ASMs on Microcystis aeruginosa (M. aeruginosa) cells at different physiological stages. Growth experiments indicated that M. aeruginosa of different initial densities could be inhibited immediately and chlorophyll-a content both showed significant decreases following exposure of cyanobacteria to optimal dosage of ASMs for 20 days. The algicidal mechanism of ASMs was tested through a suite of physiological parameters (membrane permeability* antioxidant enzymes activity* and lipid peroxidation). The rise of cell membrane permeability indices (intracellular protein* nucleic acid contents* and conductivity) showed that the cellular membrane structure of M. aeruginosa was attacked by ASMs directly causing the leakage of cytoplasm. Antioxidant enzyme activity was a sensitive indicator of the impacts of ASMs which showed a significant downtrend after a few days. ASMs caused a great increase in •O
C000628730, graphene oxide, 1, The toxicity of graphene oxide affected by algal physiological characteristics: A comparative study in cyanobacterial, green algae, diatom., Though the main toxic mechanisms of graphene oxide (GO) to algae have been accepted as the shading effect* oxidative stress and mechanical damage* the effect of algal characteristics on these three mechanisms of GO toxicity have seldom been taken into consideration. In this study* we investigated GO toxicity to green algae (Chlorella vulgaris* Scenedesmus obliquus* Chlamydomonas reinhardtii)* cyanobacteria (Microcystis aeruginosa) and diatoms (Cyclotella sp.). The aim was to assess how the physiological characteristics of algae affect the toxicity of GO. Results showed that 10 mg/L of GO significantly inhibited the growth of all tested algal types* while S. obliquus and C. reinhardtii were found to be the most susceptible and tolerant species* respectively. Then* scanning electron microscopy (SEM) and transmission electron microscopy (TEM) were used to observe the physiological characteristics of the assessed algae. The presence of locomotive organelles* along with smaller and more spherical cells* was more likely to alleviate the shading effect. Variations in cell wall composition led to different extents of mechanical damage as shown by Cyclotella sp. silica frustules and S. obliquus autosporine division being prone to damage. Meanwhile* growth inhibition and cell division were significantly correlated with the oxidative stress and membrane permeability* suggesting the latter two indicators can effectively signal GO toxicity to algae. The findings of this study provide novel insights into the toxicity of graphene materials in aquatic environments.
